Iter Core_Total(Pa) Full_Total(Pa) Core_Static(Pa) Full_Static(Pa)
278 5480.79 8289.07 5478.85 8403.09
279 5467.09 8266.77 5463.58 8381.28
280 5453.24 8244.35 5448.17 8359.36
281 5439.59 8222.35 5433.03 8337.86
282 5425.92 8200.5 5417.94 8316.49
283 5412.29 8178.92 5403.01 8295.4
284 5398.74 8157.71 5388.29 8274.67
285 5385.02 8136.57 5373.57 8254.01
286 5371.39 8115.88 5359.14 8233.81
287 5357.33 8095.01 5344.5 8213.42
288 5343.34 8074.61 5330.16 8193.5
289 5329.02 8054.23 5315.78 8173.6
290 5314.62 8034.19 5301.58 8154.04
291 5300.08 8014.44 5287.53 8134.76
292 5285.24 7994.73 5273.47 8115.53
293 5270.39 7975.48 5259.68 8096.76
294 5255.03 7956 5245.66 8077.75
295 5239.74 7937 5231.96 8059.23
296 5224.22 7918.06 5218.25 8040.77
297 5208.67 7899.39 5204.7 8022.58
298 5193.19 7881.05 5191.36 8004.71
299 5177.51 7862.64 5177.94 7986.77
300 5162.09 7844.66 5164.84 7969.26
301 5146.6 7826.61 5151.68 7951.69
302 5131.4 7808.9 5138.78 7934.44
303 5116.45 7791.39 5126.05 7917.4
304 5101.69 7773.93 5113.4 7900.4
305 5087.4 7756.85 5101.05 7883.78
306 5073.39 7739.81 5088.8 7867.2
307 5059.83 7723.03 5076.77 7850.87
308 5046.66 7706.37 5064.9 7834.66
309 5033.84 7689.74 5053.11 7818.48
310 5021.58 7673.44 5041.61 7802.64
311 5009.71 7657.24 5030.23 7786.88
312 4998.3 7641.23 5019.05 7771.32
313 4987.28 7625.34 5008 7755.88
314 4976.61 7609.54 4997.06 7740.53
315 4966.36 7593.99 4986.32 7725.42
316 4956.4 7578.53 4975.68 7710.41
317 4946.71 7563.18 4965.14 7695.51
318 4937.31 7548.01 4954.75 7680.79
319 4928.11 7532.97 4944.44 7666.2
320 4919.1 7518.1 4934.26 7651.77
321 4910.14 7503.22 4924.07 7637.33
322 4901.29 7488.51 4913.99 7623.07
323 4892.55 7474 4904.03 7609
324 4883.78 7459.55 4894.1 7594.99
325 4875.02 7445.25 4884.26 7581.12
326 4866.23 7431.1 4874.49 7567.4
327 4857.39 7417.08 4864.79 7553.81
328 4848.48 7403.18 4855.14 7540.34
329 4839.54 7389.48 4845.61 7527.06
330 4830.52 7375.91 4836.13 7513.91
331 4821.43 7362.45 4826.71 7500.87
332 4812.35 7349.23 4817.43 7488.06
333 4803.2 7336.11 4808.2 7475.34
334 4794.07 7323.17 4799.06 7462.81
335 4785 7310.43 4790.06 7450.47
336 4775.91 7297.76 4781.08 7438.2
337 4766.92 7285.29 4772.23 7426.12
338 4758.05 7272.97 4763.48 7414.2
339 4749.26 7260.77 4754.81 7402.4
340 4740.63 7248.74 4746.24 7390.76
341 4732.13 7236.81 4737.76 7379.23
342 4723.8 7225.06 4729.4 7367.87
343 4715.61 7213.43 4721.13 7356.64
344 4707.59 7201.97 4712.98 7345.57
345 4699.72 7190.69 4704.97 7334.68
346 4691.95 7179.5 4697.01 7323.88
347 4684.3 7168.5 4689.18 7313.27
348 4676.73 7157.65 4681.46 7302.81
349 4669.16 7146.87 4673.78 7292.41
350 4661.66 7136.28 4666.21 7282.2
351 4654.16 7125.81 4658.72 7272.11
352 4646.62 7115.43 4651.28 7262.1
353 4639.08 7105.22 4643.94 7252.26
354 4631.48 7095.1 4636.65 7242.51
355 4623.83 7085.09 4629.42 7232.87
356 4616.15 7075.23 4622.28 7223.37
357 4608.38 7065.43 4615.17 7213.92
358 4600.57 7055.75 4608.13 7204.6
359 4592.74 7046.2 4601.18 7195.4
360 4584.82 7036.66 4594.22 7186.22
361 4576.92 7027.26 4587.35 7177.17
362 4569.04 7017.98 4580.57 7168.24
363 4561.12 7008.69 4573.77 7159.3
364 4553.31 6999.55 4567.08 7150.52
365 4545.59 6990.51 4560.47 7141.84
366 4537.94 6981.49 4553.88 7133.16
367 4530.49 6972.61 4547.41 7124.64
368 4523.23 6963.82 4541.02 7116.21
369 4516.14 6955.07 4534.66 7107.8
370 4509.33 6946.44 4528.43 7099.54
371 4502.79 6937.89 4522.27 7091.33
372 4496.51 6929.39 4516.18 7083.18
373 4490.57 6921.01 4510.22 7075.15
374 4484.92 6912.68 4504.32 7067.16
375 4479.56 6904.42 4498.5 7059.24
376 4474.54 6896.27 4492.8 7051.43
377 4469.77 6888.15 4487.15 7043.64
378 4465.26 6880.12 4481.59 7035.94
379 4461 6872.2 4476.13 7028.34
380 4456.89 6864.29 4470.7 7020.74
381 4452.93 6856.48 4465.35 7013.24
382 4449.1 6848.78 4460.07 7005.85
