Iter MassIn(kg/s) MassOut(kg/s) Ratio
464 27.7232 27.7232 1
465 27.7766 27.7766 1
466 27.8299 27.8299 1
467 27.8833 27.8833 1
468 27.9366 27.9366 1
469 27.99 27.99 1
470 28.0434 28.0434 1
471 28.0967 28.0967 1
472 28.1501 28.1501 1
473 28.2034 28.2034 1
474 28.2568 28.2568 1
475 28.3101 28.3101 1
476 28.3635 28.3635 1
477 28.4169 28.4169 1
478 28.4702 28.4702 1
479 28.5236 28.5236 1
480 28.5769 28.5769 1
481 28.6303 28.6303 1
482 28.6837 28.6837 1
483 28.737 28.737 1
484 28.7904 28.7904 1
485 28.8437 28.8437 1
486 28.8971 28.8971 1
487 28.9505 28.9505 1
488 29.0038 29.0038 1
489 29.0572 29.0572 1
490 29.1105 29.1105 1
491 29.1639 29.1639 1
492 29.2173 29.2173 1
493 29.2706 29.2706 1
494 29.324 29.324 1
495 29.3773 29.3773 1
496 29.4307 29.4307 1
497 29.4841 29.4841 1
498 29.5374 29.5374 1
499 29.5908 29.5908 1
500 29.6441 29.6441 1
501 29.6441 29.6441 1
502 29.6441 29.6441 1
503 29.6441 29.6441 1
504 29.6441 29.6441 1
505 29.6441 29.6441 1
506 29.6441 29.6441 1
507 29.6441 29.6441 1
508 29.6441 29.6441 1
509 29.6441 29.6441 1
510 29.6441 29.6441 1
511 29.6441 29.6441 1
512 29.6441 29.6441 1
513 29.6441 29.6441 1
514 29.6441 29.6441 1
515 29.6441 29.6441 1
516 29.6441 29.6441 1
517 29.6441 29.6441 1
518 29.6441 29.6441 1
519 29.6441 29.6441 1
520 29.6441 29.6441 1
521 29.6441 29.6441 1
522 29.6441 29.6441 1
523 29.6441 29.6441 1
524 29.6441 29.6441 1
525 29.6441 29.6441 1
526 29.6441 29.6441 1
527 29.6441 29.6441 1
528 29.6441 29.6441 1
529 29.6441 29.6441 1
530 29.6441 29.6441 1
531 29.6441 29.6441 1
532 29.6441 29.6441 1
533 29.6441 29.6441 1
534 29.6441 29.6441 1
535 29.6441 29.6441 1
536 29.6441 29.6441 1
537 29.6441 29.6441 1
538 29.6441 29.6441 1
539 29.6441 29.6441 1
540 29.6441 29.6441 1
541 29.6441 29.6441 1
542 29.6441 29.6441 1
543 29.6441 29.6441 1
544 29.6441 29.6441 1
545 29.6441 29.6441 1
546 29.6441 29.6441 1
547 29.6441 29.6441 1
548 29.6441 29.6441 1
549 29.6441 29.6441 1
550 29.6441 29.6441 1
551 29.6441 29.6441 1
552 29.6441 29.6441 1
553 29.6441 29.6441 1
554 29.6441 29.6441 1
555 29.6441 29.6441 1
556 29.6441 29.6441 1
557 29.6441 29.6441 1
558 29.6441 29.6441 1
559 29.6441 29.6441 1
560 29.6441 29.6441 1
561 29.6441 29.6441 1
562 29.6441 29.6441 1
563 29.6441 29.6441 1
564 29.6441 29.6441 1
565 29.6441 29.6441 1
566 29.6441 29.6441 1
567 29.6441 29.6441 1
568 29.6441 29.6441 1
569 29.6441 29.6441 1
570 29.6441 29.6441 1
571 29.6441 29.6441 1
572 29.6441 29.6441 1
573 29.6441 29.6441 1
574 29.6441 29.6441 1
575 29.6441 29.6441 1
576 29.6441 29.6441 1
577 29.6441 29.6441 1
578 29.6441 29.6441 1
579 29.6441 29.6441 1
580 29.6441 29.6441 1
581 29.6441 29.6441 1
582 29.6441 29.6441 1
583 29.6441 29.6441 1
584 29.6441 29.6441 1
585 29.6441 29.6441 1
586 29.6441 29.6441 1
587 29.6441 29.6441 1
588 29.6441 29.6441 1
589 29.6441 29.6441 1
590 29.6441 29.6441 1
591 29.6441 29.6441 1
592 29.6441 29.6441 1
593 29.6441 29.6441 1
594 29.6441 29.6441 1
595 29.6441 29.6441 1
596 29.6441 29.6441 1
597 29.6441 29.6441 1
598 29.6441 29.6441 1
599 29.6441 29.6441 1
600 29.6441 29.6441 1
601 29.6441 29.6441 1
602 29.6441 29.6441 1
603 29.6441 29.6441 1
604 29.6441 29.6441 1
605 29.6441 29.6441 1
606 29.6441 29.6441 1
607 29.6441 29.6441 1
608 29.6441 29.6441 1
609 29.6441 29.6441 1
610 29.6441 29.6441 1
611 29.6441 29.6441 1
612 29.6441 29.6441 1
613 29.6441 29.6441 1
614 29.6441 29.6441 1
615 29.6441 29.6441 1
616 29.6441 29.6441 1
617 29.6441 29.6441 1
618 29.6441 29.6441 1
619 29.6441 29.6441 1
620 29.6441 29.6441 1
621 29.6441 29.6441 1
622 29.6441 29.6441 1
623 29.6441 29.6441 1
624 29.6441 29.6441 1
625 29.6441 29.6441 1
626 29.6441 29.6441 1
627 29.6441 29.6441 1
628 29.6441 29.6441 1
629 29.6441 29.6441 1
630 29.6441 29.6441 1
631 29.6441 29.6441 1
632 29.6441 29.6441 1
633 29.6441 29.6441 1
634 29.6441 29.6441 1
635 29.6441 29.6441 1
636 29.6441 29.6441 1
637 29.6441 29.6441 1
638 29.6441 29.6441 1
639 29.6441 29.6441 1
640 29.6441 29.6441 1
641 29.6441 29.6441 1
642 29.6441 29.6441 1
643 29.6441 29.6441 1
644 29.6441 29.6441 1
645 29.6441 29.6441 1
646 29.6441 29.6441 1
647 29.6441 29.6441 1
648 29.6441 29.6441 1
649 29.6441 29.6441 1
650 29.6441 29.6441 1
651 29.6441 29.6441 1
652 29.6441 29.6441 1
653 29.6441 29.6441 1
654 29.6441 29.6441 1
655 29.6441 29.6441 1
656 29.6441 29.6441 1
657 29.6441 29.6441 1
658 29.6441 29.6441 1
659 29.6441 29.6441 1
660 29.6441 29.6441 1
661 29.6441 29.6441 1
662 29.6441 29.6441 1
663 29.6441 29.6441 1
664 29.6441 29.6441 1
665 29.6441 29.6441 1
666 29.6441 29.6441 1
667 29.6441 29.6441 1
668 29.6441 29.6441 1
669 29.6441 29.6441 1
670 29.6441 29.6441 1
671 29.6441 29.6441 1
672 29.6441 29.6441 1
673 29.6441 29.6441 1
674 29.6441 29.6441 1
675 29.6441 29.6441 1
676 29.6441 29.6441 1
677 29.6441 29.6441 1
678 29.6441 29.6441 1
679 29.6441 29.6441 1
680 29.6441 29.6441 1
681 29.6441 29.6441 1
682 29.6441 29.6441 1
683 29.6441 29.6441 1
684 29.6441 29.6441 1
685 29.6441 29.6441 1
686 29.6441 29.6441 1
687 29.6441 29.6441 1
688 29.6441 29.6441 1
689 29.6441 29.6441 1
690 29.6441 29.6441 1
691 29.6441 29.6441 1
692 29.6441 29.6441 1
693 29.6441 29.6441 1
694 29.6441 29.6441 1
695 29.6441 29.6441 1
696 29.6441 29.6441 1
697 29.6441 29.6441 1
698 29.6441 29.6441 1
699 29.6441 29.6441 1
700 29.6441 29.6441 1
701 29.6441 29.6441 1
702 29.6441 29.6441 1
703 29.6441 29.6441 1
704 29.6441 29.6441 1
705 29.6441 29.6441 1
706 29.6441 29.6441 1
707 29.6441 29.6441 1
708 29.6441 29.6441 1
709 29.6441 29.6441 1
710 29.6441 29.6441 1
711 29.6441 29.6441 1
712 29.6441 29.6441 1
713 29.6441 29.6441 1
714 29.6441 29.6441 1
715 29.6441 29.6441 1
716 29.6441 29.6441 1
717 29.6441 29.6441 1
718 29.6441 29.6441 1
